Property Name,Branch Name,Industry Name,Irrigation Controller Count,Irrigation Controller Type,Irrigation Flow Sensor,Irrigation Master Valve,Irrigation Meter Count,Lead Source,Property Address Line 1,Property City,Property Group Name,Property State/Province Code,Property Type,Property Zip Code,Turf SF,Planter SF,Slope SF
10917 Cherry Ave bt41025,Bemus Riverside,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,10917 Cherry Ave,Fontana,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92337,0,26233,0
11553 Foothill Blvd. RC,Bemus Riverside,Commercial,1,Smart,No,No,Unknown,Customer Referral,11553 Foothill Blvd,Rancho Cucamonga,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,91730,0,6587,0
14144 Santa Ana Ave bt41119,Bemus Riverside,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,14144 Santa Ana Ave,Fontana,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92337,0,36905,0
1660 N Linden - BR78102,Bemus Riverside,Commercial,2,Smart,Unknown,Unknown,Unknown,Business Development,1660 N Linden Ave,Rialto,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92376,0,162166,133260
1675 W Park Ave bt41053,Bemus Riverside,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,1675 W Park Ave,Redlands,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92373,0,44382,0
19972 Patterson Ave br41162,Bemus Riverside,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,19972 Patterson Ave,Perris,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92570,0,75021,0
2580 E Philadelphia St bt 40653,Bemus Riverside,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,2580 E Philadelphia St,Ontario,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,91761,0,18647,0
511-581 N Main St,Bemus Riverside,Commercial,1,Dumb,Unknown,Unknown,Unknown,Call In,511-581 N Main St,Corona,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92880,0,12147,0
548 W Merrill Ave br40347,Bemus Riverside,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,548 W Merrill Ave,Rialto,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92376,0,35000,0
750 S Valley View bt41102,Bemus Riverside,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,750 S Valley View,San Bernardino,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92408,0,31750,0
Albertsons Distribution Center,Bemus Riverside,Commercial,2,Dumb,No,No,Unknown,Customer Referral,14950 Meridian Parkway,Riverside,Bemus- Maintenance,CA,Maintenance,92508,0,27000,0
Anaheim Place,Bemus Santa Ana - Anne,Commercial,3,Mixed,Unknown,Unknown,Unknown,Cold Call,505 N Euclid Street,Anaheim,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92801,0,22844,0
Avante,Bemus San Marcos,HOA/COA/TOA,1,Dumb,Unknown,Unknown,Unknown,Unknown,16750 Coyote Bush Dr,San Diego,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92127,0,47500,0
Avelino Community Association (AVE) BELAN,Bemus San Juan Capistrano,HOA/COA/TOA,2,Smart,No,No,Unknown,Unknown,19 Silkwood Lane,Las Flores,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92688,0,5010,0
Barrington Place HOA,Bemus Riverside,HOA/COA/TOA,3,Dumb,Unknown,Unknown,Unknown,Customer Referral,11077 Pansy Place,Jurupa Valley,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,91752,0,49862,0
Brio at Beacon Park Neighborhood Association,Bemus Santa Ana - Hathaway,HOA/COA/TOA,2,Dumb,No,No,2,New Business,102 Fixie,Irvine,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92618,0,62500,0
Cal Oaks Hotel LLC,Bemus Riverside,Hospitality/Resort,1,Dumb,Unknown,Unknown,Unknown,Customer Referral,24761 Hospitality Place,Murrieta,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92562,0,73276,0
Carlyle at Montelena,Bemus San Marcos,HOA/COA/TOA,2,Mixed,Unknown,Unknown,Unknown,Unknown,18504 Lancashire Way,San Diego,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92128,0,2445,142630
Carriage Square Estates,Bemus San Marcos,HOA/COA/TOA,6,Dumb,No,Yes,Unknown,Unknown,2257 Valley Road,Oceanside,Bemus- Maintenance,CA,Maintenance,92056,0,0,726280
Chaparral HOA,Bemus San Marcos,HOA/COA/TOA,4,Smart,No,Yes,Unknown,Unknown,2504 Honeybell Lane,Escondido,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92027,0,23840,211220
Chino Landmark,Bemus Riverside,Other,5,Dumb,Unknown,Unknown,Unknown,Customer Referral,4272 Rushmore Ct.,Chino,Bemus- Maintenance,CA,Maintenance,91710,0,45745,0
Creekside at La Verne,Bemus Santa Ana - Hathaway,HOA/COA/TOA,2,Unknown,Unknown,Unknown,Unknown,Customer Referral,2308 Bella Colina,La Verne,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,91750,0,17500,0
De La Rosa Community Association,Bemus Riverside,Other,1,Smart,Yes,Yes,Unknown,Customer Referral,53001 Rose Sachet Lane,Perris,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92532,0,61260,0
El Paseo Community Association,Bemus Riverside,Other,5,Mixed,Unknown,Unknown,Unknown,Customer Referral,7155 Citrus Ave.,Fontana,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92336,0,74250,0
Estancia at Eastvale HOA,Bemus Riverside,HOA/COA/TOA,5,Smart,Yes,Yes,Unknown,Customer Referral,13225 Berts Way,Eastvale,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92880,0,135993,0
Gabion Ranch Pool and Rec Ctr.,Bemus Riverside,Other,1,Smart,Yes,Yes,Unknown,Customer Referral,5318 Heitz Wy,Fontana,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92336,0,20000,0
Glaukos Corporate II,Bemus San Juan Capistrano,Commercial,1,Mixed,No,Yes,Unknown,Unknown,236 Avenida Fabricante,San Clemente,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92672,0,18418,32400
Golden Fields HOA,Bemus Riverside,HOA/COA/TOA,1,Smart,No,Yes,Unknown,Customer Referral,27231 Golden Field Court,Moreno Valley,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92555,0,222340,0
Hidden Springs (Bemus),Bemus Riverside,Other,5,Mixed,No,No,1,Unknown,5220 Pearblossom Drive,Riverside,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92507,0,36592,43642
Hull Triangle,Bemus Santa Ana - Hathaway,Retail,1,Dumb,Unknown,Unknown,Unknown,Cold Call,1804 N Tustin Ave,Santa Ana,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92705,0,14273,0
Imperial Beach Club HOA,Bemus San Marcos,HOA/COA/TOA,1,Dumb,Unknown,Unknown,Unknown,Unknown,714 Seacoast Drive,Imperial Beach,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,91932,0,6267,0
Irvine RV Storage,Bemus Santa Ana - Hathaway,Commercial,1,Dumb,No,No,Unknown,Unknown,6653 Barranca Pkwy,Irvine,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92618,0,5940,0
Irvine Terrace (ITE) BELAN,Bemus Santa Ana - Anne,HOA/COA/TOA,4,Mixed,No,No,Unknown,Unknown,1607 Bonnie Doone Terrace,Newport Beach,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92625,0,319,322867
Irvine Terrace (ITE) BELAN,Bemus Santa Ana - Anne,HOA/COA/TOA,4,Mixed,No,No,Unknown,Unknown,1607 Bonnie Doone Terrace,Newport Beach,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92625,0,319,322867
Kings Fish House,Bemus Riverside,Shopping Center,1,Dumb,No,No,Unknown,New Business,2530 Tuscany St,Corona,Bemus- Maintenance,CA,Maintenance,92881,0,1792,0
"Ladera UAC Office, LLC - 778",Bemus San Juan Capistrano,Commercial,1,Smart,No,No,Unknown,Unknown,2101 Corporate Drive,Ladera Ranch,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92694,0,15200,0
Los Serranos Ranch HOA,Bemus Riverside,HOA/COA/TOA,4,Smart,No,Yes,Unknown,Customer Referral,4418 Golden Glen Dr,Chino Hills,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,91709,0,9905,271821
Madison Lane (Bemus),Bemus San Marcos,HOA/COA/TOA,Unknown,Smart,Yes,Yes,Unknown,Unknown,805 Madison Lane,Vista,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92083,0,25140,166600
Madrid at Tustin Ranch HOA,Bemus Santa Ana - Hathaway,HOA/COA/TOA,2,Smart,No,No,Unknown,Unknown,12195 Glines Ct,Tustin,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92782,0,5334,18660
Makena Office Park Association II,Bemus San Juan Capistrano,Commercial,1,Dumb,No,No,1,Unknown,1161 Puerta Del Sol,San Clemente,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92673,0,6970,0
Monster Energy 2495 & 2535 Anselmo,Bemus Riverside,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,2495 Anselmo,Corona,Bemus- Maintenance/Tree Care,CA,Maintenance,92879,0,16071,7205
Monster Energy DC,Bemus Riverside,Commercial,2,Smart,Yes,Yes,1,Customer Referral,1405 N Locust Ave,Rialto,Bemus- Maintenance,CA,Maintenance,92377,0,271768,0
Moulton La Paz Homeowners Associations,Bemus San Juan Capistrano,HOA/COA/TOA,2,Dumb,Unknown,Unknown,Unknown,Unknown,24711 Monte Royale,Laguna Hills,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92653,0,0,137477
Mountainview HOA,Bemus Riverside,HOA/COA/TOA,5,Mixed,Unknown,Unknown,Unknown,Customer Referral,15552 Kings Peak Dr,Fontana,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92336,0,3350,0
Newbury Homeowners Association,Bemus Santa Ana - Hathaway,HOA/COA/TOA,1,Dumb,Unknown,Unknown,Unknown,Unknown,5272 Newbury Ln.,Yorba Linda,Bemus- Maintenance,CA,Maintenance,92886,0,9000,35865
"Newlight Technologies, Inc.",Bemus Santa Ana - Anne,Industrial,1,Smart,Yes,Yes,1,New Business,14382 Astronautics Lane,Huntington Beach,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92647,0,11500,0
North County Business Park,Bemus Santa Ana - Hathaway,Commercial,1,Dumb,Unknown,Unknown,Unknown,Business Development,22681 Old Canal Rd,Yorba Linda,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92887,0,55000,0
Northfield (Bemus),Bemus San Marcos,HOA/COA/TOA,5,Mixed,Unknown,Unknown,Unknown,Customer Referral,17950 Cassia Pl,San Diego,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92127,0,3665,521541
Overlook,Bemus Riverside,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,925 Bradley St.,Riverside,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92506,0,10480,11582
Parker Hannifin,Bemus Santa Ana - Hathaway,Commercial,5,Dumb,No,No,1,Unknown,14300 Alton Parkway,Irvine,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92618,0,210522,0
Parkview Maintenance Association,Bemus Santa Ana - Hathaway,HOA/COA/TOA,4,Dumb,No,Yes,4,Unknown,17 Tanglewood Street,Irvine,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92604,0,75275,0
Parkwoods,Bemus San Marcos,HOA/COA/TOA,3,Dumb,Unknown,Unknown,Unknown,Unknown,376 Center Street,Chula Vista,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,91910,0,36695,10485
Pathfinder,Bemus Riverside,Other,1,Dumb,Unknown,Unknown,Unknown,Business Development,4260 Tequesqite,Riverside,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92501,0,1633,12616
Poets Square,Bemus San Marcos,HOA/COA/TOA,Unknown,Smart,No,Yes,Unknown,Unknown,334 Poets Square,Fallbrook,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92028,0,31225,45160
QCP,Bemus Riverside,Other,2,Dumb,No,No,Unknown,Customer Referral,731 Parkridge Ave,Norco,Bemus- Maintenance,CA,Maintenance,92860,0,18500,0
Renaissance Valley,Bemus Riverside,Other,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,1091 W Esplanade,San Jacinto,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92582,0,33883,0
Riverglen Owners Association IE,Bemus Riverside,Other,3,Dumb,Yes,Yes,Unknown,Customer Referral,Archibald Ave and Shleisman,Eastvale,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92880,0,0,132340
Rowland Neighborhood Association,Bemus Santa Ana - Hathaway,HOA/COA/TOA,5,Dumb,No,No,2,New Business,114 Acamar,Irvine,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92618,0,56000,0
Santiago Street Lofts Maintenance Corporation,Bemus Santa Ana - Hathaway,HOA/COA/TOA,5,Dumb,Unknown,Unknown,Unknown,Unknown,939 E Santa Ana Blvd.,Santa Ana,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92701,0,14000,0
Scheu Business Center - V,Bemus Riverside,Other,1,Dumb,Unknown,Unknown,Unknown,Unknown,9859 7th Street,Rancho Cucamonga,Bemus- Maintenance,CA,Maintenance and Tree Care,Unknown,0,17000,0
Scheu Distribution Center,Bemus Riverside,Retail,2,Dumb,Unknown,Unknown,Unknown,Employee Referral,9866 7th Street & 9863 Acacia Street,Rancho Cucamonga,Bemus- Maintenance,CA,Maintenance,91730,0,13600,0
Scotts Valley,Bemus San Marcos,HOA/COA/TOA,Unknown,Dumb,No,No,Unknown,Customer Referral,1654 Orchard Wood Road,Encinitas,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92024,0,0,148642
Sea Canyon,Bemus San Marcos,HOA/COA/TOA,2,Smart,Yes,Yes,Unknown,Unknown,3652 - 3672 Clairemont Dr.,San Diego,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92117,0,9907,6578
Sendero HOA,Bemus Riverside,HOA/COA/TOA,4,Smart,Unknown,Unknown,Unknown,Customer Referral,13965 Frontera Way,Eastvale,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92880,0,144914,44770
"Shorecliffs Terrace, Inc.",Bemus San Juan Capistrano,HOA/COA/TOA,15,Smart,No,Yes,Unknown,Unknown,3000 Calle Nuevo,San Clemente,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92673,0,8020,719260
Sienna II Avante II Maintenance Corp - AEM 540,Bemus Riverside,Other,4,Dumb,Unknown,Unknown,Unknown,New Business,32936 Shephard Ct.,Winchester,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92596,0,17506,63742
Sierra Verde Maintenance Corporation,Bemus San Juan Capistrano,HOA/COA/TOA,4,Smart,No,No,2,Employee Referral,19 Alondra,Rancho Santa Margarita,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92688,0,132757,0
Skyridge Community Association,Bemus Riverside,Other,2,Smart,Yes,Yes,2,Customer Referral,18147 Krameria Avenue,Riverside,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92508,0,51015,37453
Skyridge Maintenance Corporation,Bemus Santa Ana - Hathaway,HOA/COA/TOA,4,Mixed,No,Yes,Unknown,New Business,34 Cielo Cresta,Mission Viejo,Bemus- Maintenance,CA,Maintenance,92692,0,22265,108284
Skyview at Gabion Ranch COA,Bemus Riverside,Other,5,Dumb,No,No,Unknown,Unknown,16502 Casa Grande Ave,Fontana,Bemus- Maintenance,CA,Maintenance,92336,0,8500,0
Sonoma Hills,Bemus San Marcos,HOA/COA/TOA,1,Dumb,Unknown,Unknown,Unknown,Cold Call,4994 El Mirlo,Oceanside,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92057,0,0,90224
Stone Harbor-Bridgeport HOA,Bemus Riverside,HOA/COA/TOA,3,Smart,Unknown,Unknown,Unknown,Customer Referral,11927 Abington Street,Riverside,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92503,0,3798,70588
StoneHaven Fontana Owners Association,Bemus Riverside,Other,2,Smart,No,Yes,2,Customer Referral,6348 Creekstone Way,Fontana,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92336,0,40900,0
Summer Walk II,Bemus San Juan Capistrano,HOA/COA/TOA,1,Smart,No,Yes,Unknown,Unknown,65 Oakcliff Drive,Laguna Niguel,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92677,0,0,154560
"Sunroad Vista Land Partners, L.P.",Bemus San Marcos,Commercial,1,Smart,Unknown,Unknown,Unknown,Unknown,445-475 Hacienda Drive,Vista,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92081,0,17000,0
Sweetwater Place Community,Bemus San Marcos,HOA/COA/TOA,2,Mixed,Unknown,Unknown,Unknown,Unknown,10653 Busch St,Spring Valley,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,91978,0,25000,0
Tavara Ridge HOA,Bemus San Marcos,HOA/COA/TOA,1,Smart,Yes,Yes,Unknown,Customer Referral,3611-3719 Tavara Circle,San Diego,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92117,0,31000,0
The Peak at Delpy's Corner,Bemus San Marcos,HOA/COA/TOA,2,Smart,Yes,Yes,Unknown,Customer Referral,1202 Delpy View Point,Vista,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92084,0,77249,140252
The Retreat Fontana- Villas & Chateau,Bemus Riverside,Other,1,Dumb,Unknown,Unknown,Unknown,Customer Referral,15200 S. Highland Ave,Fontana,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92336,0,73128,0
The Ridge at Cal Oaks AEM116-13767,Bemus Riverside,Hospitality/Resort,1,Smart,Yes,Yes,1,Call In,40959 Belleray Avenue,Murrieta,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92562,0,57194,25891
Torrey Pines Business Park,Bemus San Juan Capistrano,Commercial,1,Dumb,No,No,1,Unknown,181 Avenida La Pata,San Clemente,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92673,0,26850,19400
Town Square HOA,Bemus Riverside,HOA/COA/TOA,Unknown,Smart,Yes,Yes,Unknown,Unknown,2131 Summerset St,Corona,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92879,0,7550,0
"TREA Frontera Business Park, LLC",Bemus San Marcos,Commercial,5,Smart,Unknown,Unknown,Unknown,Business Development,9375 Customhouse Plaza,San Diego,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92154,0,140116,65813
"TREA Otay Mesa Industrial, LLC",Bemus San Marcos,Commercial,1,Smart,Unknown,Unknown,Unknown,Business Development,8830 Siempre Viva Road,San Diego,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92154,0,23494,9425
United Refrigeration,Bemus Riverside,Commercial,1,Dumb,Yes,Yes,Unknown,Unknown,4060 E Airport Dr,Ontario,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,91761,0,28880,0
Villas D'Monaco HOA,Bemus San Marcos,HOA/COA/TOA,2,Smart,No,No,1,Unknown,6615 Santa Isabel Street,Carlsbad,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92009,0,3140,0
Vista Brighton Place,Bemus San Marcos,HOA/COA/TOA,2,Smart,Unknown,Unknown,Unknown,Unknown,900 Westport lane,Vista,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92084,0,0,99256
Windchime Neighborhood Association,Bemus Santa Ana - Hathaway,HOA/COA/TOA,1,Dumb,No,No,Unknown,New Business,210 Paramount,Irvine,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92618,0,73438,0
Winery Estate Marketplace,Bemus Riverside,Retail,3,Smart,No,No,1,Customer Referral,7355 Day Creek Blvd.,Rancho Cucamonga,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,91739,0,23950,0
Woodridge at Gabion Ranch,Bemus Riverside,HOA/COA/TOA,2,Dumb,Unknown,Unknown,Unknown,Customer Referral,5318 Heitz Wy,Fontana,Bemus- Maintenance,CA,Maintenance,92336,0,4000,0
Yorba Meadowood HOA,Bemus Santa Ana - Hathaway,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,5350 Via Del Jinete,Yorba Linda,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92886,0,85863,91344
Bolinger Estates Homeowners Association,Bemus Santa Ana - Anne,HOA/COA/TOA,1,Dumb,No,No,Unknown,New Business,1826 Bolinger Circle,Orange,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92865,150,3260,65740
Traffix Devices,Bemus San Juan Capistrano,Commercial,1,Smart,No,Yes,1,Unknown,160 Avenida La Plata,San Clemente,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92673,150,10300,75320
Metro Place Shopping Center,Bemus Santa Ana - Hathaway,Retail,1,Dumb,Unknown,Unknown,Unknown,Cold Call,1945 E 17th St,Santa Ana,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92705,196,29698,0
The Estates at Rancho Niguel Homeowners Association,Bemus San Juan Capistrano,HOA/COA/TOA,1,Smart,No,No,Unknown,New Business,14 San Rafael Place,Laguna Niguel,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92677,230,0,30694
Big Canyon Master Association,Bemus Santa Ana - Anne,HOA/COA/TOA,5,Smart,No,Yes,5,Unknown,2 Big Canyon Dr,Newport Beach,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92660,500,103800,129100
Citrus Park,Bemus Santa Ana - Anne,HOA/COA/TOA,2,Smart,Yes,Yes,Unknown,Unknown,736 Tangelo Way,Fullerton,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92832,500,10000,0
Romano's Macaroni Grill,Bemus Riverside,Shopping Center,1,Dumb,No,No,Unknown,New Business,3591 Grand Oaks,Corona,Bemus- Maintenance,CA,Maintenance,92881,500,1000,0
Glaukos Corporate,Bemus San Juan Capistrano,Commercial,1,Dumb,No,Yes,Unknown,New Business,229 Avenida Fabricante,San Clemente,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92672,600,3859,47986
Trailside HOA,Bemus Santa Ana - Hathaway,HOA/COA/TOA,2,Dumb,No,No,Unknown,Unknown,10228 Overhill Dr,Santa Ana,Bemus- Maintenance,CA,Maintenance,92705,619,8621,0
Brickyard Lofts,Bemus Santa Ana - Anne,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,821 Brickyard Ln.,Costa Mesa,Bemus- Maintenance,CA,Maintenance,92627,629,9761,0
11881-11883 Magnolia,Bemus Riverside,Commercial,1,Dumb,Unknown,Unknown,Unknown,Call In,11883 Magnolia Ave,Riverside,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92503,665,9735,0
Crest at Whelan Ranch,Bemus San Marcos,HOA/COA/TOA,8,Mixed,Unknown,Unknown,Unknown,Unknown,4804 Cardiff Bay Drive,Oceanside,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92057,692,28709,382991
Riverview Courts,Bemus San Marcos,HOA/COA/TOA,1,Dumb,Unknown,Unknown,Unknown,Unknown,11826 Caminito Rihely,Lakeside,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92040,700,12510,0
Escondido Views,Bemus San Marcos,HOA/COA/TOA,1,Dumb,Unknown,Unknown,Unknown,Unknown,2400 W. Valley Pkwy,Escondido,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92029,832,13040,83197
Lower Azusa Road,Bemus Santa Ana - Hathaway,Commercial,3,Dumb,Unknown,Unknown,Unknown,Business Development,12321 Lower Azusa Road,Arcadia,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,91006,900,192122,0
The Plaza,Bemus Riverside,Other,1,Dumb,Unknown,Unknown,Unknown,Business Development,27740 Jefferson Ave,Temecula,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92590,990,2763,0
The Plaza,Bemus Santa Ana - Anne,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10540 Talbert Avenue,Fountain Valley,Unknown,CA,Unknown,92708,990,2763,0
Marblehead Community Association (MAR1) BELAN,Bemus San Juan Capistrano,HOA/COA/TOA,5,Smart,No,Partial,Unknown,Unknown,800 Avenida Pico,San Clemente,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92673,1000,119000,150000
Payson Residence,Bemus Santa Ana - Anne,HOA/COA/TOA,6,Mixed,No,No,Unknown,Unknown,32161 Coast Hwy,Laguna Beach,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92651,1000,40000,0
Sage Park Homeowners Association,Bemus Santa Ana - Hathaway,HOA/COA/TOA,1,Smart,Unknown,Unknown,Unknown,Unknown,221 Moccasin,Irvine,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92618,1000,27000,0
San Clemente Technology Park,Bemus San Juan Capistrano,Commercial,1,Dumb,No,Yes,Unknown,Unknown,1214 Puerta Del Sol,San Clemente,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92673,1100,43380,0
Breeze Hill Promenade,Bemus San Marcos,HOA/COA/TOA,2,Smart,No,No,1,Unknown,215 S Melrose Dr,Vista,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92081,1200,41000,0
"Packaging on Demand, Inc.",Bemus San Juan Capistrano,Commercial,1,Dumb,No,No,Unknown,Unknown,1284 Puerta Del Sol,San Clemente,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92673,1300,14050,0
Kline Ranch br40931,Bemus Riverside,Other,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,3994 S Riverside Ave,Colton,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92324,1346,64939,15325
Trails at Etiwanda (0633) BELAN,Bemus Riverside,Other,3,Dumb,Unknown,Unknown,Unknown,Customer Referral,7161 East Ave,Rancho Cucamonga,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,91739,1381,71774,0
Kulp Properties,Bemus San Juan Capistrano,Commercial,2,Dumb,No,No,Unknown,Unknown,220 / 224 Calle Pintoresco,San Clemente,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92672,1500,5740,18880
Marluna HOA,Bemus San Juan Capistrano,HOA/COA/TOA,1,Smart,Yes,Yes,1,Unknown,33011 Seawatch,Dana Point,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92629,1500,3225,89310
Olivewood Community,Bemus Riverside,HOA/COA/TOA,6,Dumb,Yes,Yes,Unknown,Customer Referral,36866 Cascina Lane,Beaumont,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92223,1500,161500,0
1568 N Linden - BR78002,Bemus Riverside,Commercial,2,Smart,Unknown,Unknown,Unknown,Business Development,1568 N Linden,Rialto,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92376,1559,203332,112272
