Property Name,Branch Name,Industry Name,Irrigation Controller Count,Irrigation Controller Type,Irrigation Flow Sensor,Irrigation Master Valve,Irrigation Meter Count,Lead Source,Property Address Line 1,Property City,Property Group Name,Property State/Province Code,Property Type,Property Zip Code,Turf SF,Planter SF,Slope SF
Berardo Heights Master,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,16150 Bernardo Heights Parkway,Rancho Bernardo,Unknown,CA,Unknown,92128,#N/A,#N/A,#N/A
Berkeley Square at College Park,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,14542 Manchester Ave,Chino,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,91709,#N/A,#N/A,#N/A
Berkshire HOA,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,7862 Birmingham Drive,Chino,Bemus- Maintenance,CA,Maintenance,91710,#N/A,#N/A,#N/A
Berkshire Neighborhood Corp,Bemus San Juan Capistrano,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strawflower St,Ladera Ranch,Bemus- Tree Care,CA,Tree Care,92694,#N/A,#N/A,#N/A
Bernardo Greens West,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,11971 Bajada Rd,San Diego,Unknown,CA,Unknown,92128,#N/A,#N/A,#N/A
Bernardo Heights Assoc,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,16150 Bernardo Heights Parkway,San Diego,Unknown,CA,Unknown,92128,#N/A,#N/A,#N/A
Bernardo Hills HOA,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,440 W. Citracado Parkway,Escondido,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92025,#N/A,#N/A,#N/A
Bernardo Palm Retail Center,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cold Call,11611 Rancho Bernardo Road,San Deigo,Bemus- Maintenance,CA,Maintenance,Unknown,#N/A,#N/A,#N/A
Bernardo Pines,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rancho Bernardo,Unknown,CA,Unknown,Unknown,#N/A,#N/A,#N/A
Bernardo Santa Fe,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3392 Avenida Magoria,Escondido,Bemus- Tree Care,CA,Tree Care,92029,#N/A,#N/A,#N/A
Bernardo Vista Del Lago,Bemus San Marcos,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,18594 Caminito Pasadero,San Diego,Bemus- Tree Care,CA,Tree Care,92128,#N/A,#N/A,#N/A
Bernie Rome Residence,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3 Pinehurst Lane,Newport Beach,Unknown,CA,Unknown,92660,#N/A,#N/A,#N/A
Berringer Creek HOA,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,34028 Turtle Creek St,Temecula,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92592,#N/A,#N/A,#N/A
Best Western Bayside Inn,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cold Call,555 W. Ash Street,San Diego,Bemus- Maintenance,CA,Maintenance,92101,#N/A,#N/A,#N/A
Best Western Plus Island Palms Hotel & Marina,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cold Call,2501 Shelter Island Drive,San Diego,Bemus- Maintenance,CA,Maintenance,92106,#N/A,#N/A,#N/A
Best Western Seven Seas,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cold Call,411 Hotel Circle South,San Diego,Bemus- Maintenance,CA,Maintenance,92108,#N/A,#N/A,#N/A
